"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"126","Kevin White","CHI","WR50","9","70","260","134.5","36.7","164.0","+38.0"
"127","Zay Jones","BUF","WR51","6","79","274","135.6","36.5","125.0","-2.0"
"128","Coby Fleener","NO","TE15","5","87","205","134.4","23.7","155.0","+27.0"
"129","Tyrod Taylor","BUF","QB18","6","62","189","133.7","26.6","156.0","+27.0"
"130","Ted Ginn","NO","WR52","5","97","262","138.9","33.7","139.0","+9.0"
"131","Giovani Bernard","CIN","RB46","6","65","249","135.9","34.1","141.0","+10.0"
"132","Chris Hogan","NE","WR53","9","69","264","141.6","51.6","144.0","+12.0"
"133","Sterling Shepard","NYG","WR54","8","91","224","139.5","25.7","136.0","+3.0"
"134","Jacquizz Rodgers","TB","RB47","11","61","235","142.1","39.2","124.0","-10.0"
"135","Austin Hooper","ATL","TE16","5","66","244","143.1","25.5","147.0","+12.0"
"136","Carson Palmer","ARI","QB19","8","109","193","142.7","18.1","149.0","+13.0"
"137","Samaje Perine","WAS","RB48","5","52","257","143.6","36.9","127.0","-10.0"
"138","Denver Broncos","","DST1","5","117","240","143.7","21.5","121.0","-17.0"
"139","Carson Wentz","PHI","QB20","10","99","194","144.8","19.7","134.0","-5.0"
"140","Cole Beasley","DAL","WR55","6","39","259","147.6","37.1","143.0","+3.0"
"141","C.J. Fiedorowicz","HOU","TE17","7","75","249","147.1","32.1","193.0","+52.0"
"142","Robby Anderson","NYJ","WR56","11","95","261","145.6","36.5","157.0","+15.0"
"143","Rex Burkhead","NE","RB49","9","72","245","148.0","42.6","146.0","+3.0"
"144","Chris Thompson","WAS","RB50","5","85","259","149.6","34.5","189.0","+45.0"
"145","Seattle Seahawks","","DST2","6","117","217","146.9","18.3","126.0","-19.0"
"146","Cameron Brate","TB","TE18","11","91","250","148.9","27.1","169.0","+23.0"
"147","Houston Texans","","DST3","7","114","214","147.3","17.2","130.0","-17.0"
"148","Josh Doctson","WAS","WR57","5","97","223","150.0","28.8","153.0","+5.0"
"149","Jamaal Williams","GB","RB51","8","73","227","153.3","35.1","137.0","-12.0"
"150","Shane Vereen","NYG","RB52","8","54","272","154.1","41.2","173.0","+23.0"
"151","Jeremy Hill","CIN","RB53","6","64","249","153.4","35.0","150.0","-1.0"
"152","Julius Thomas","MIA","TE19","11","105","249","154.8","27.5","161.0","+9.0"
"153","Kansas City Chiefs","","DST4","10","121","220","152.3","17.5","132.0","-21.0"
"154","Tyler Lockett","SEA","WR58","6","110","247","155.5","28.9","162.0","+8.0"
"155","Latavius Murray","MIN","RB54","9","82","263","159.4","43.5","152.0","-3.0"
"156","Jamaal Charles","DEN","RB55","5","93","255","160.1","37.8","140.0","-16.0"
"157","Alvin Kamara","NO","RB56","5","93","225","155.6","28.5","165.0","+8.0"
