"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"118","Derrick Henry","TEN","RB42","8","62","167","114.6","21.1","90.0","-28.0"
"119","Corey Davis","TEN","WR49","8","4","262","121.3","35.8","112.0","-7.0"
"120","Rishard Matthews","TEN","WR50","8","71","207","117.8","20.3","124.0","+4.0"
"121","Darren Sproles","PHI","RB43","10","65","252","124.0","34.4","126.0","+5.0"
"122","Andy Dalton","CIN","QB16","6","79","182","123.1","21.2","133.0","+11.0"
"123","Jonathan Stewart","CAR","RB44","11","64","212","124.4","24.0","119.0","-4.0"
"124","Marvin Jones","DET","WR51","7","85","225","124.3","21.2","120.0","-4.0"
"125","Darren McFadden","DAL","RB45","6","7","281","128.4","50.4","110.0","-15.0"
"126","Tyrod Taylor","BUF","QB17","6","71","183","126.0","21.1","146.0","+20.0"
"127","Eli Manning","NYG","QB18","8","87","193","130.4","20.1","129.0","+2.0"
"128","Jason Witten","DAL","TE14","6","106","188","132.0","19.4","145.0","+17.0"
"129","Coby Fleener","NO","TE15","5","92","204","132.8","21.7","153.0","+24.0"
"130","Thomas Rawls","SEA","RB46","6","72","235","138.5","35.3","122.0","-8.0"
"131","Sterling Shepard","NYG","WR52","8","75","200","139.4","23.1","138.0","+7.0"
"132","Giovani Bernard","CIN","RB47","6","82","253","139.0","35.5","139.0","+7.0"
"133","Ted Ginn","NO","WR53","5","91","257","139.4","29.6","143.0","+10.0"
"134","Jacquizz Rodgers","TB","RB48","11","61","232","143.1","35.8","128.0","-6.0"
"135","Samaje Perine","WAS","RB49","5","52","257","143.1","36.4","127.0","-8.0"
"136","Denver Broncos","","DST1","5","124","240","144.3","21.9","123.0","-13.0"
"137","Carson Palmer","ARI","QB19","8","111","196","145.1","18.0","154.0","+17.0"
"138","C.J. Fiedorowicz","HOU","TE16","7","109","248","148.6","31.0","178.0","+40.0"
"139","Seattle Seahawks","","DST2","6","118","221","146.2","17.8","131.0","-8.0"
"140","Josh Doctson","WAS","WR54","5","98","277","150.2","31.2","144.0","+4.0"
"141","Houston Texans","","DST3","7","120","218","147.6","16.9","132.0","-9.0"
"142","Carson Wentz","PHI","QB20","10","110","194","149.4","19.1","141.0","-1.0"
"143","Kevin White","CHI","WR55","9","77","251","152.9","33.6","159.0","+16.0"
"144","Zay Jones","BUF","WR56","6","89","268","151.8","34.9","140.0","-4.0"
"145","Austin Hooper","ATL","TE17","5","81","244","151.4","25.7","155.0","+10.0"
"146","Robby Anderson","NYJ","WR57","11","41","232","147.5","37.8","165.0","+19.0"
"147","Latavius Murray","MIN","RB50","9","81","238","152.3","34.0","147.0","0.0"
"148","Cole Beasley","DAL","WR58","6","99","255","152.8","34.9","149.0","+1.0"
"149","Cameron Brate","TB","TE18","11","91","250","152.7","28.5","168.0","+19.0"
"150","Kansas City Chiefs","","DST4","10","122","224","152.1","16.4","134.0","-16.0"
"151","Julius Thomas","MIA","TE19","11","107","240","152.7","25.4","164.0","+13.0"
